Véhicule,Norme EURO,Mois,KM parcourus,Émissions CO2 (kg)
HYUNDAI MEX  38514-A-11,EURO 4,5,0,
HYUNDAI MEX  38514-A-11,EURO 4,6,0,
HYUNDAI MEX  38514-A-11,EURO 4,7,0,
HYUNDAI MEX  38514-A-11,EURO 4,8,0,
HYUNDAI MEX  38514-A-11,EURO 4,9,0,
HYUNDAI MEX  38514-A-11,EURO 4,10,0,
HYUNDAI MEX  38514-A-11,EURO 4,11,0,
HYUNDAI MEX  38514-A-11,EURO 4,12,0,
HYUNDAI MEX  38515-A-11,EURO 4,1,7385,1794.555
HYUNDAI MEX  38515-A-11,EURO 4,2,0,
HYUNDAI MEX  38515-A-11,EURO 4,3,0,
HYUNDAI MEX  38515-A-11,EURO 4,4,0,
HYUNDAI MEX  38515-A-11,EURO 4,5,0,
HYUNDAI MEX  38515-A-11,EURO 4,6,0,
HYUNDAI MEX  38515-A-11,EURO 4,7,0,
HYUNDAI MEX  38515-A-11,EURO 4,8,0,
HYUNDAI MEX  38515-A-11,EURO 4,9,0,
HYUNDAI MEX  38515-A-11,EURO 4,10,0,
HYUNDAI MEX  38515-A-11,EURO 4,11,0,
HYUNDAI MEX  38515-A-11,EURO 4,12,0,
HYUNDAI MEX  39014-A-11,EURO 4,1,5670,1377.81
HYUNDAI MEX  39014-A-11,EURO 4,2,0,
HYUNDAI MEX  39014-A-11,EURO 4,3,0,
HYUNDAI MEX  39014-A-11,EURO 4,4,0,
HYUNDAI MEX  39014-A-11,EURO 4,5,0,
HYUNDAI MEX  39014-A-11,EURO 4,6,0,
HYUNDAI MEX  39014-A-11,EURO 4,7,0,
HYUNDAI MEX  39014-A-11,EURO 4,8,0,
HYUNDAI MEX  39014-A-11,EURO 4,9,0,
HYUNDAI MEX  39014-A-11,EURO 4,10,0,
HYUNDAI MEX  39014-A-11,EURO 4,11,0,
HYUNDAI MEX  39014-A-11,EURO 4,12,0,
HYUNDAI MEX  39015-A-11,EURO 4,1,4953,1203.579
HYUNDAI MEX  39015-A-11,EURO 4,2,0,
HYUNDAI MEX  39015-A-11,EURO 4,3,0,
HYUNDAI MEX  39015-A-11,EURO 4,4,0,
HYUNDAI MEX  39015-A-11,EURO 4,5,0,
HYUNDAI MEX  39015-A-11,EURO 4,6,0,
HYUNDAI MEX  39015-A-11,EURO 4,7,0,
HYUNDAI MEX  39015-A-11,EURO 4,8,0,
HYUNDAI MEX  39015-A-11,EURO 4,9,0,
HYUNDAI MEX  39015-A-11,EURO 4,10,0,
HYUNDAI MEX  39015-A-11,EURO 4,11,0,
HYUNDAI MEX  39015-A-11,EURO 4,12,0,
HYUNDAI MEX  39013-A-11,EURO 4,1,5670,1377.81
HYUNDAI MEX  39013-A-11,EURO 4,2,0,
HYUNDAI MEX  39013-A-11,EURO 4,3,0,
HYUNDAI MEX  39013-A-11,EURO 4,4,0,
HYUNDAI MEX  39013-A-11,EURO 4,5,0,
HYUNDAI MEX  39013-A-11,EURO 4,6,0,
HYUNDAI MEX  39013-A-11,EURO 4,7,0,
HYUNDAI MEX  39013-A-11,EURO 4,8,0,
HYUNDAI MEX  39013-A-11,EURO 4,9,0,
HYUNDAI MEX  39013-A-11,EURO 4,10,0,
HYUNDAI MEX  39013-A-11,EURO 4,11,0,
HYUNDAI MEX  39013-A-11,EURO 4,12,0,
HYUNDAI MEX  94406-D-6,EURO 4,1,4263,1035.909
HYUNDAI MEX  94406-D-6,EURO 4,2,0,
HYUNDAI MEX  94406-D-6,EURO 4,3,0,
HYUNDAI MEX  94406-D-6,EURO 4,4,0,
HYUNDAI MEX  94406-D-6,EURO 4,5,0,
HYUNDAI MEX  94406-D-6,EURO 4,6,0,
HYUNDAI MEX  94406-D-6,EURO 4,7,0,
HYUNDAI MEX  94406-D-6,EURO 4,8,0,
HYUNDAI MEX  94406-D-6,EURO 4,9,0,
HYUNDAI MEX  94406-D-6,EURO 4,10,0,
HYUNDAI MEX  94406-D-6,EURO 4,11,0,
HYUNDAI MEX  94406-D-6,EURO 4,12,0,
HYUNDAI MEX  40907-A-11,EURO 4,1,536,130.248
HYUNDAI MEX  40907-A-11,EURO 4,2,0,
HYUNDAI MEX  40907-A-11,EURO 4,3,0,
HYUNDAI MEX  40907-A-11,EURO 4,4,0,
HYUNDAI MEX  40907-A-11,EURO 4,5,0,
HYUNDAI MEX  40907-A-11,EURO 4,6,0,
HYUNDAI MEX  40907-A-11,EURO 4,7,0,
HYUNDAI MEX  40907-A-11,EURO 4,8,0,
HYUNDAI MEX  40907-A-11,EURO 4,9,0,
HYUNDAI MEX  40907-A-11,EURO 4,10,0,
HYUNDAI MEX  40907-A-11,EURO 4,11,0,
HYUNDAI MEX  40907-A-11,EURO 4,12,0,
HYUNDAI MEX  40908-A-11,EURO 4,1,5670,1377.81
HYUNDAI MEX  40908-A-11,EURO 4,2,0,
HYUNDAI MEX  40908-A-11,EURO 4,3,0,
HYUNDAI MEX  40908-A-11,EURO 4,4,0,
HYUNDAI MEX  40908-A-11,EURO 4,5,0,
HYUNDAI MEX  40908-A-11,EURO 4,6,0,
HYUNDAI MEX  40908-A-11,EURO 4,7,0,
HYUNDAI MEX  40908-A-11,EURO 4,8,0,
HYUNDAI MEX  40908-A-11,EURO 4,9,0,
HYUNDAI MEX  40908-A-11,EURO 4,10,0,
HYUNDAI MEX  40908-A-11,EURO 4,11,0,
HYUNDAI MEX  40908-A-11,EURO 4,12,0,
HYUNDAI MEX 40905-A-11,EURO 4,1,5670,1377.81
HYUNDAI MEX 40905-A-11,EURO 4,2,0,
HYUNDAI MEX 40905-A-11,EURO 4,3,0,
HYUNDAI MEX 40905-A-11,EURO 4,4,0,
HYUNDAI MEX 40905-A-11,EURO 4,5,0,
HYUNDAI MEX 40905-A-11,EURO 4,6,0,
HYUNDAI MEX 40905-A-11,EURO 4,7,0,
HYUNDAI MEX 40905-A-11,EURO 4,8,0,
HYUNDAI MEX 40905-A-11,EURO 4,9,0,
HYUNDAI MEX 40905-A-11,EURO 4,10,0,
HYUNDAI MEX 40905-A-11,EURO 4,11,0,
HYUNDAI MEX 40905-A-11,EURO 4,12,0,
HYUNDAI MEX  42888-A-11,EURO 4,1,5204,1264.572
HYUNDAI MEX  42888-A-11,EURO 4,2,0,
HYUNDAI MEX  42888-A-11,EURO 4,3,0,
HYUNDAI MEX  42888-A-11,EURO 4,4,0,
HYUNDAI MEX  42888-A-11,EURO 4,5,0,
HYUNDAI MEX  42888-A-11,EURO 4,6,0,
HYUNDAI MEX  42888-A-11,EURO 4,7,0,
HYUNDAI MEX  42888-A-11,EURO 4,8,0,
HYUNDAI MEX  42888-A-11,EURO 4,9,0,
HYUNDAI MEX  42888-A-11,EURO 4,10,0,
HYUNDAI MEX  42888-A-11,EURO 4,11,0,
HYUNDAI MEX  42888-A-11,EURO 4,12,0,
HYUNDAI MEX  42887-A-11,EURO 4,1,4579,1112.697
HYUNDAI MEX  42887-A-11,EURO 4,2,0,
HYUNDAI MEX  42887-A-11,EURO 4,3,0,
HYUNDAI MEX  42887-A-11,EURO 4,4,0,
HYUNDAI MEX  42887-A-11,EURO 4,5,0,
HYUNDAI MEX  42887-A-11,EURO 4,6,0,
HYUNDAI MEX  42887-A-11,EURO 4,7,0,
HYUNDAI MEX  42887-A-11,EURO 4,8,0,
HYUNDAI MEX  42887-A-11,EURO 4,9,0,
HYUNDAI MEX  42887-A-11,EURO 4,10,0,
HYUNDAI MEX  42887-A-11,EURO 4,11,0,
HYUNDAI MEX  42887-A-11,EURO 4,12,0,
HYUNDAI MEX  42889-A-11,EURO 4,1,7997,1943.271
HYUNDAI MEX  42889-A-11,EURO 4,2,0,
HYUNDAI MEX  42889-A-11,EURO 4,3,0,
HYUNDAI MEX  42889-A-11,EURO 4,4,0,
HYUNDAI MEX  42889-A-11,EURO 4,5,0,
HYUNDAI MEX  42889-A-11,EURO 4,6,0,
HYUNDAI MEX  42889-A-11,EURO 4,7,0,
HYUNDAI MEX  42889-A-11,EURO 4,8,0,
HYUNDAI MEX  42889-A-11,EURO 4,9,0,
HYUNDAI MEX  42889-A-11,EURO 4,10,0,
HYUNDAI MEX  42889-A-11,EURO 4,11,0,
HYUNDAI MEX  42889-A-11,EURO 4,12,0,
FORD MEX 42764-A-11,EURO 5,1,4582,856.834
FORD MEX 42764-A-11,EURO 5,2,0,
FORD MEX 42764-A-11,EURO 5,3,0,
FORD MEX 42764-A-11,EURO 5,4,0,
FORD MEX 42764-A-11,EURO 5,5,0,
FORD MEX 42764-A-11,EURO 5,6,0,
FORD MEX 42764-A-11,EURO 5,7,0,
FORD MEX 42764-A-11,EURO 5,8,0,
FORD MEX 42764-A-11,EURO 5,9,0,
FORD MEX 42764-A-11,EURO 5,10,0,
FORD MEX 42764-A-11,EURO 5,11,0,
FORD MEX 42764-A-11,EURO 5,12,0,
HYUNDAI MEX  42997-A-11,EURO 4,1,5670,1377.81
HYUNDAI MEX  42997-A-11,EURO 4,2,0,
HYUNDAI MEX  42997-A-11,EURO 4,3,0,
HYUNDAI MEX  42997-A-11,EURO 4,4,0,
HYUNDAI MEX  42997-A-11,EURO 4,5,0,
HYUNDAI MEX  42997-A-11,EURO 4,6,0,
HYUNDAI MEX  42997-A-11,EURO 4,7,0,
HYUNDAI MEX  42997-A-11,EURO 4,8,0,
HYUNDAI MEX  42997-A-11,EURO 4,9,0,
HYUNDAI MEX  42997-A-11,EURO 4,10,0,
HYUNDAI MEX  42997-A-11,EURO 4,11,0,
HYUNDAI MEX  42997-A-11,EURO 4,12,0,
HYUNDAI MEX  43152-A-11,EURO 4,1,6220,1511.46
HYUNDAI MEX  43152-A-11,EURO 4,2,0,
HYUNDAI MEX  43152-A-11,EURO 4,3,0,
HYUNDAI MEX  43152-A-11,EURO 4,4,0,
HYUNDAI MEX  43152-A-11,EURO 4,5,0,
HYUNDAI MEX  43152-A-11,EURO 4,6,0,
HYUNDAI MEX  43152-A-11,EURO 4,7,0,
HYUNDAI MEX  43152-A-11,EURO 4,8,0,
HYUNDAI MEX  43152-A-11,EURO 4,9,0,
HYUNDAI MEX  43152-A-11,EURO 4,10,0,
HYUNDAI MEX  43152-A-11,EURO 4,11,0,
HYUNDAI MEX  43152-A-11,EURO 4,12,0,
HYUNDAI MEX  43179-A-11,EURO 4,1,7385,1794.555
HYUNDAI MEX  43179-A-11,EURO 4,2,0,
HYUNDAI MEX  43179-A-11,EURO 4,3,0,
HYUNDAI MEX  43179-A-11,EURO 4,4,0,
HYUNDAI MEX  43179-A-11,EURO 4,5,0,
HYUNDAI MEX  43179-A-11,EURO 4,6,0,
HYUNDAI MEX  43179-A-11,EURO 4,7,0,
HYUNDAI MEX  43179-A-11,EURO 4,8,0,
